     27 | 2017:03:09 - 20:45:19.1069 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3996 |                            208.85.40.50 |                                     443 |     54
     28 | 2017:03:09 - 20:45:19.1119 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    3996 |    107
     29 | 2017:03:09 - 20:45:19.1169 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3996 |                            208.85.40.50 |                                     443 |     54
     30 | 2017:03:09 - 20:45:19.1219 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
     31 | 2017:03:09 - 20:45:19.1269 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
     32 | 2017:03:09 - 20:45:19.1309 |    ARP |    ARP |        ARP |                       84:1B:5E:EC:03:04 |                             192.168.1.1 |                               Broadcast |                            192.168.1.14 |     42
     33 | 2017:03:09 - 20:45:19.1359 |    ARP |    ARP |        ARP |                       84:1B:5E:EC:03:04 |                             192.168.1.1 |                               Broadcast |                            192.168.1.14 |     42
     34 | 2017:03:09 - 20:45:19.1409 |    ARP |    ARP |        ARP |                       84:1B:5E:EC:03:04 |                             192.168.1.1 |                               Broadcast |                            192.168.1.14 |     42
     35 | 2017:03:09 - 20:45:19.1459 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
     36 | 2017:03:09 - 20:45:19.1509 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3997 |                            208.85.46.26 |                                     443 |     66
     37 | 2017:03:09 - 20:45:19.1559 |   IPv4 |    TCP | Secure TCP |                            208.85.46.26 |                                     443 |                            192.168.1.20 |                                    3997 |     66
     38 | 2017:03:09 - 20:45:19.1609 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3997 |                            208.85.46.26 |                                     443 |     54
     39 | 2017:03:09 - 20:45:19.1649 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3997 |                            208.85.46.26 |                                     443 |    571
     40 | 2017:03:09 - 20:45:19.1699 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3996 |                            208.85.40.50 |                                     443 |     55
     41 | 2017:03:09 - 20:45:19.1769 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    3996 |     60
     42 | 2017:03:09 - 20:45:19.1809 |   IPv4 |    TCP | Secure TCP |                            208.85.46.26 |                                     443 |                            192.168.1.20 |                                    3997 |     54
     43 | 2017:03:09 - 20:45:19.1859 |   IPv4 |    TCP | Secure TCP |                            208.85.46.26 |                                     443 |                            192.168.1.20 |                                    3997 |   1484
     44 | 2017:03:09 - 20:45:19.1909 |   IPv4 |    TCP | Secure TCP |                            208.85.46.26 |                                     443 |                            192.168.1.20 |                                    3997 |   1484
     45 | 2017:03:09 - 20:45:19.1959 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3997 |                            208.85.46.26 |                                     443 |     54
     46 | 2017:03:09 - 20:45:19.2009 |   IPv4 |    TCP | Secure TCP |                            208.85.46.26 |                                     443 |                            192.168.1.20 |                                    3997 |    523
     47 | 2017:03:09 - 20:45:19.2049 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3997 |                            208.85.46.26 |                                     443 |    180
     48 | 2017:03:09 - 20:45:19.2099 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3997 |                            208.85.46.26 |                                     443 |   1266
     49 | 2017:03:09 - 20:45:19.2149 |   IPv4 |    TCP | Secure TCP |                            208.85.46.26 |                                     443 |                            192.168.1.20 |                                    3997 |    344
     50 | 2017:03:09 - 20:45:19.2189 |   IPv4 |    TCP | Secure TCP |                            208.85.46.26 |                                     443 |                            192.168.1.20 |                                    3997 |   1484
     51 | 2017:03:09 - 20:45:19.2239 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3997 |                            208.85.46.26 |                                     443 |     54
     52 | 2017:03:09 - 20:45:19.2289 |   IPv4 |    TCP | Secure TCP |                            208.85.46.26 |                                     443 |                            192.168.1.20 |                                    3997 |   1484
     53 | 2017:03:09 - 20:45:19.2339 |   IPv4 |    TCP | Secure TCP |                            208.85.46.26 |                                     443 |                            192.168.1.20 |                                    3997 |   1484
     54 | 2017:03:09 - 20:45:19.2379 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3997 |                            208.85.46.26 |                                     443 |     54
