No.     | Time                       | NetPtc | Tran P | App Portoc | Source IP                               | Source Port                             | Destation IP                            | Destation Port                          | Length
   1425 | 2017:03:09 - 21:01:01.7298 |   IPv4 |    UDP |       DHCP |                             192.168.1.1 |                                      67 |                            192.168.1.20 |                                      68 |    590
   1426 | 2017:03:09 - 21:01:01.9848 |   IPv6 |    UDP |      LLMNR |               fe80::99e8:64fb:c7e1:bceb |                                   57485 |                               ff02::1:3 |                                    5355 |     84
   1427 | 2017:03:09 - 21:01:01.9858 |   IPv4 |    UDP |      LLMNR |                            192.168.1.20 |                                   60766 |                             224.0.0.252 |                                    5355 |     64
   1428 | 2017:03:09 - 21:01:02.9869 |   IPv6 |    UDP |      LLMNR |               fe80::99e8:64fb:c7e1:bceb |                                   57485 |                               ff02::1:3 |                                    5355 |     84
   1429 | 2017:03:09 - 21:01:02.9889 |   IPv4 |    UDP |      LLMNR |                            192.168.1.20 |                                   60766 |                             224.0.0.252 |                                    5355 |     64
   1430 | 2017:03:09 - 21:01:02.9899 |   IPv4 |    UDP |       NBNS |                            192.168.1.20 |                                     137 |                           192.168.1.255 |                                     137 |     92
   1431 | 2017:03:09 - 21:01:02.9919 |   IPv4 |    UDP |       NBNS |                            192.168.1.20 |                                     137 |                           192.168.1.255 |                                     137 |     92
   1432 | 2017:03:09 - 21:01:02.9929 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
   1433 | 2017:03:09 - 21:01:03.9939 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4154 |                            208.85.40.50 |                                     443 |     55
   1434 | 2017:03:09 - 21:01:03.9949 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    4154 |     60
   1435 | 2017:03:09 - 21:01:03.9959 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4156 |                            208.85.40.50 |                                     443 |     55
   1436 | 2017:03:09 - 21:01:03.9969 |   IPv4 |    UDP |       NBNS |                            192.168.1.20 |                                     137 |                           192.168.1.255 |                                     137 |     92
   1437 | 2017:03:09 - 21:01:03.9989 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    4156 |     60
   1438 | 2017:03:09 - 21:01:03.9999 |   IPv6 |    UDP |      LLMNR |               fe80::99e8:64fb:c7e1:bceb |                                   60357 |                               ff02::1:3 |                                    5355 |     84
   1439 | 2017:03:09 - 21:01:04.0009 |   IPv4 |    UDP |      LLMNR |                            192.168.1.20 |                                   54944 |                             224.0.0.252 |                                    5355 |     64
   1440 | 2017:03:09 - 21:01:05.0020 |   IPv6 |    UDP |      LLMNR |               fe80::99e8:64fb:c7e1:bceb |                                   60357 |                               ff02::1:3 |                                    5355 |     84
   1441 | 2017:03:09 - 21:01:05.0030 |   IPv4 |    UDP |      LLMNR |                            192.168.1.20 |                                   54944 |                             224.0.0.252 |                                    5355 |     64
   1442 | 2017:03:09 - 21:01:05.0040 |   IPv4 |    UDP |        DNS |                            192.168.1.20 |                                   55749 |                             192.168.1.1 |                                      53 |     70
   1443 | 2017:03:09 - 21:01:05.0050 |   IPv4 |    UDP |        DNS |                             192.168.1.1 |                                      53 |                            192.168.1.20 |                                   55749 |     86
