    141 | 2017:03:09 - 20:53:33.4042 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4022 |                            208.85.42.31 |                                     443 |     54
    142 | 2017:03:09 - 20:53:33.4052 |   IPv4 |    TCP | Secure TCP |                            208.85.42.31 |                                     443 |                            192.168.1.20 |                                    4022 |    523
    143 | 2017:03:09 - 20:53:33.4052 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4022 |                            208.85.42.31 |                                     443 |    180
    144 | 2017:03:09 - 20:53:33.4062 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4022 |                            208.85.42.31 |                                     443 |    815
    145 | 2017:03:09 - 20:53:33.4072 |   IPv4 |    TCP | Secure TCP |                            208.85.44.31 |                                     443 |                            192.168.1.20 |                                    4024 |     66
    146 | 2017:03:09 - 20:53:33.4082 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4024 |                            208.85.44.31 |                                     443 |     54
    147 | 2017:03:09 - 20:53:33.4092 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4024 |                            208.85.44.31 |                                     443 |    314
    148 | 2017:03:09 - 20:53:33.4102 |   IPv4 |    TCP | Secure TCP |                            208.85.44.32 |                                     443 |                            192.168.1.20 |                                    4025 |     66
    149 | 2017:03:09 - 20:53:33.4112 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4025 |                            208.85.44.32 |                                     443 |     54
    150 | 2017:03:09 - 20:53:33.4122 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4025 |                            208.85.44.32 |                                     443 |    314
    151 | 2017:03:09 - 20:53:33.4132 |   IPv4 |    TCP | Secure TCP |                            208.85.42.31 |                                     443 |                            192.168.1.20 |                                    4022 |     60
    152 | 2017:03:09 - 20:53:33.4152 |   IPv4 |    TCP | Secure TCP |                            208.85.42.31 |                                     443 |                            192.168.1.20 |                                    4022 |    344
    153 | 2017:03:09 - 20:53:33.4162 |   IPv4 |    TCP | Secure TCP |                            208.85.42.31 |                                     443 |                            192.168.1.20 |                                    4022 |   1484
    154 | 2017:03:09 - 20:53:33.4172 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4022 |                            208.85.42.31 |                                     443 |     54
    155 | 2017:03:09 - 20:53:33.4192 |   IPv4 |    TCP | Secure TCP |                            208.85.42.31 |                                     443 |                            192.168.1.20 |                                    4022 |   1484
    156 | 2017:03:09 - 20:53:33.4202 |   IPv4 |    TCP | Secure TCP |                            208.85.42.31 |                                     443 |                            192.168.1.20 |                                    4022 |   1484
    157 | 2017:03:09 - 20:53:33.4212 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4022 |                            208.85.42.31 |                                     443 |     54
    158 | 2017:03:09 - 20:53:33.4222 |   IPv4 |    TCP | Secure TCP |                            208.85.42.31 |                                     443 |                            192.168.1.20 |                                    4022 |   1484
    159 | 2017:03:09 - 20:53:33.4232 |   IPv4 |    TCP | Secure TCP |                            208.85.42.31 |                                     443 |                            192.168.1.20 |                                    4022 |   1484
    160 | 2017:03:09 - 20:53:33.4242 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4022 |                            208.85.42.31 |                                     443 |     54
    161 | 2017:03:09 - 20:53:33.4252 |   IPv4 |    TCP | Secure TCP |                            208.85.42.31 |                                     443 |                            192.168.1.20 |                                    4022 |   1484
    162 | 2017:03:09 - 20:53:33.4262 |   IPv4 |    TCP | Secure TCP |                            208.85.42.31 |                                     443 |                            192.168.1.20 |                                    4022 |   1484
    163 | 2017:03:09 - 20:53:33.4272 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4022 |                            208.85.42.31 |                                     443 |     54
    164 | 2017:03:09 - 20:53:33.4282 |   IPv4 |    TCP | Secure TCP |                            208.85.42.31 |                                     443 |                            192.168.1.20 |                                    4022 |   1484
    165 | 2017:03:09 - 20:53:33.4282 |   IPv4 |    TCP | Secure TCP |                            208.85.42.31 |                                     443 |                            192.168.1.20 |                                    4022 |   1484
    166 | 2017:03:09 - 20:53:33.4292 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4022 |                            208.85.42.31 |                                     443 |     54
    167 | 2017:03:09 - 20:53:33.4302 |   IPv4 |    TCP | Secure TCP |                            208.85.44.31 |                                     443 |                            192.168.1.20 |                                    4021 |     54
    168 | 2017:03:09 - 20:53:33.4312 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4020 |                            208.85.40.50 |                                     443 |     54
    169 | 2017:03:09 - 20:53:33.4322 |   IPv4 |    TCP | Secure TCP |                            208.85.44.31 |                                     443 |                            192.168.1.20 |                                    4021 |   1484
    170 | 2017:03:09 - 20:53:33.4332 |   IPv4 |    TCP | Secure TCP |                            208.85.44.31 |                                     443 |                            192.168.1.20 |                                    4021 |   1484
